BENZENE,1.79909300804138,3.04995536804199,3.44127276539802,3.55485258996486,3.58862482011318,3.59958278480917,3.60357065405696
BUT1ENE,4.23899459838867,5.19110041856766,5.4566684961319,5.61046911776066,5.74221208691597,5.86480984091759,5.98007541149855
C2H4,2.22725129127502,2.79691910743713,2.84134946018457,2.84495361777953,2.84559580264613,2.84586863865843,2.84601218196621
C2H6,0.13925464451313,0.404465183615684,0.690741494297981,0.977866187691688,1.25722359120846,1.5244247764349,1.77771823108196
C3H6,3.94540429115295,4.86040943861007,5.02334502339363,5.0570935793221,5.06663651112467,5.07056589564308,5.07267535710707
C3H8,0.426944702863693,1.03520426154137,1.58744904398918,2.07109189033508,2.49021738767624,2.85388460755348,3.17198884487152
ISOP,5.34897327423096,6.24317842721939,6.46724119782448,6.53701685369015,6.5591858625412,6.56650340138003,6.56919573293999
EBENZ,2.39879059791565,4.06660711765289,4.58836364746093,4.73980341851711,4.78483305871486,4.79944367799908,4.80476083699613
IC4H10,1.09604048728943,2.71651756763458,4.09560000896454,5.13280546665192,5.85629987716675,6.34144482016564,6.66308099031449
IC5H12,1.37005066871643,3.39564704895019,5.1194999217987,6.41600668430328,7.32037472724914,7.92680591344833,8.32885110378265
MEPROPENE,4.23899459838867,5.19110041856766,5.4566684961319,5.61046911776066,5.74221208691597,5.86480984091759,5.98007541149855
MXYL,2.39879059791565,4.06660711765289,4.58836364746093,4.73980341851711,4.78483305871486,4.79944367799908,4.80476083699613
NC4H10,1.09604048728943,2.71651756763458,4.09560000896454,5.13280546665192,5.85629987716675,6.34144482016564,6.66308099031449
NC5H12,1.37005066871643,3.39564704895019,5.1194999217987,6.41600668430328,7.32037472724914,7.92680591344833,8.32885110378265
NC6H14,1.64406085014343,4.07477641105652,6.14339995384216,7.69920802116394,8.78444969654083,9.512167096138,9.99462133646011
NC7H16,1.91807103157043,4.75390601158142,7.1673002243042,8.98240971565247,10.2485250234604,11.0975286960602,11.6603919863701
NC8H18,2.19208097457886,5.43303513526917,8.19120001792908,10.2656109333038,11.7125997543335,12.6828896403313,13.326161980629
OXYL,2.39879059791565,4.06660711765289,4.58836364746093,4.73980341851711,4.78483305871486,4.79944367799908,4.80476083699613
PXYL,2.39879059791565,4.06660711765289,4.58836364746093,4.73980341851711,4.78483305871486,4.79944367799908,4.80476083699613
TOLUENE,2.09894180297852,3.55828130245209,4.01481828093529,4.1473280787468,4.18672901391983,4.19951330590993,4.20416582003236
